date,SPY,QQQ,GLD,TIP,BIL
1987-03-03,13.456,3.9362,43.5089,17.9709,30.454
1987-03-04,13.669,3.9953,43.8045,17.9665,30.4603
1987-03-05,13.759,4.0257,44.2564,17.9621,30.4666
1987-03-06,13.7656,4.0172,43.7763,17.9577,30.4729
1987-03-09,13.6537,3.9777,43.6355,17.9533,30.4792
1987-03-10,13.7749,4.0211,43.6995,17.9489,30.4855
1987-03-11,13.7488,4.0395,43.8712,17.9445,30.4918
1987-03-12,13.7919,4.0277,44.1614,17.9401,30.4981
1987-03-13,13.7288,3.9927,44.0099,17.9357,30.5044
1987-03-16,13.6502,3.9832,43.6645,17.9313,30.5107
1987-03-17,13.8509,4.0522,43.777,17.9269,30.517
1987-03-18,13.8656,4.0554,43.5608,17.9225,30.5233
1987-03-19,13.9271,4.0971,43.5709,17.9181,30.5296
1987-03-20,14.1207,4.1377,43.5703,17.9137,30.536
1987-03-23,14.2623,4.1284,43.9844,17.9093,30.5423
1987-03-24,14.2849,4.1454,44.0591,17.9049,30.5486
1987-03-25,14.2252,4.1457,44.5647,17.9005,30.5549
1987-03-26,14.2512,4.1567,44.2732,17.8961,30.5612
1987-03-27,14.0238,4.1206,44.8488,17.8917,30.5676
1987-03-30,13.6956,4.0069,45.6722,17.8873,30.5739
1987-03-31,13.814,4.055,45.3483,17.8829,30.5802
1987-04-01,13.8466,4.0557,45.1053,17.8786,30.5865
1987-04-02,13.9053,4.0902,45.0992,17.8718,30.5928
1987-04-03,14.2263,4.1708,45.0985,17.865,30.599
1987-04-06,14.2992,4.1611,45.394,17.8583,30.6052
1987-04-07,14.05,4.0852,45.0756,17.8515,30.6115
1987-04-08,14.077,4.1254,45.2903,17.8447,30.6177
1987-04-09,13.8685,4.1134,45.3435,17.838,30.6239
1987-04-10,13.851,4.1036,46.4845,17.8312,30.6302
1987-04-13,13.5256,4.009,46.9469,17.8245,30.6364
1987-04-14,13.2196,3.917,47.6462,17.8177,30.6427
1987-04-15,13.4696,3.9766,47.8286,17.811,30.6489
1987-04-16,13.5865,4.0046,47.144,17.8042,30.6552
1987-04-17,13.5865,4.0045,47.1432,17.7975,30.6614
1987-04-20,13.5476,3.9692,47.1425,17.7908,30.6677
1987-04-21,13.8781,4.0239,48.4072,17.784,30.6739
1987-04-22,13.5996,4.009,47.9757,17.7773,30.6802
1987-04-23,13.582,4.005,48.5134,17.7706,30.6864
1987-04-24,13.331,3.9309,49.7726,17.7638,30.6927
1987-04-27,13.3456,3.9129,51.1233,17.7571,30.6989
1987-04-28,13.3778,3.9503,48.7804,17.7504,30.7052
1987-04-29,13.4753,3.9711,48.3489,17.7437,30.7114
1987-04-30,13.6547,4.0279,48.8058,17.7369,30.7177
1987-05-01,13.639,4.0497,49.182,17.7302,30.724
1987-05-04,13.7019,4.0632,49.1812,17.7292,30.7307
1987-05-05,13.9851,4.1347,49.4496,17.7282,30.7375
1987-05-06,13.9912,4.1251,49.1259,17.7272,30.7442
1987-05-07,13.9551,4.1408,49.1251,17.7262,30.751
1987-05-08,13.8916,4.1482,48.7744,17.7251,30.7577
1987-05-11,13.8063,4.1238,48.7737,17.7241,30.7645
1987-05-12,13.8882,4.118,49.602,17.7231,30.7713
1987-05-13,13.9204,4.1467,49.5797,17.7221,30.778
1987-05-14,13.9326,4.1564,49.6382,17.7211,30.7848
1987-05-15,13.6101,4.0947,50.5902,17.72,30.7915
1987-05-18,13.5731,4.0412,50.9501,17.719,30.7983
1987-05-19,13.2402,3.9542,50.7179,17.718,30.8051
1987-05-20,13.1734,3.9593,51.1639,17.717,30.8118
1987-05-21,13.2661,3.9802,50.501,17.716,30.8186
1987-05-22,13.3603,3.9579,50.2203,17.7149,30.8254
1987-05-25,13.3603,3.9579,48.3356,17.7139,30.8321
1987-05-26,13.6893,4.0348,48.3349,17.7129,30.8389
1987-05-27,13.6713,4.0518,48.388,17.7119,30.8457
1987-05-28,13.7673,4.0988,48.7748,17.7109,30.8525
1987-05-29,13.736,4.1131,48.548,17.7098,30.8593
1987-06-01,13.7232,4.0497,47.6753,17.7088,30.866
1987-06-02,13.6583,4.02,48.9771,17.7148,30.8726
1987-06-03,13.8955,4.0474,48.761,17.7208,30.8791
1987-06-04,13.9721,4.0582,48.7334,17.7267,30.8856
1987-06-05,13.8944,4.0457,48.8134,17.7327,30.8921
1987-06-08,14.0492,4.086,49.1409,17.7387,30.8987
1987-06-09,14.0757,4.1283,48.7204,17.7446,30.9052
1987-06-10,14.0846,4.1401,49.0425,17.7506,30.9117
1987-06-11,14.1442,4.1323,49.1871,17.7566,30.9183
1987-06-12,14.281,4.1474,49.0195,17.7626,30.9248
1987-06-15,14.3529,4.1309,48.4053,17.7686,30.9313
1987-06-16,14.4296,4.1644,48.7274,17.7746,30.9379
1987-06-17,14.4319,4.1683,48.5652,17.7805,30.9444
1987-06-18,14.4735,4.1911,48.6667,17.7865,30.9509
1987-06-19,14.534,4.1841,48.3216,17.7925,30.9575
1987-06-22,14.6609,4.2026,47.137,17.7985,30.964
1987-06-23,14.6031,4.1795,47.3731,17.8045,30.9706
1987-06-24,14.5287,4.1809,47.5392,17.8105,30.9771
1987-06-25,14.628,4.1686,47.4039,17.8165,30.9837
1987-06-26,14.5428,4.1624,47.7906,17.8225,30.9902
1987-06-29,14.5778,4.1545,48.3979,17.8285,30.9968
1987-06-30,14.393,4.1227,48.1335,17.8345,31.0033
1987-07-01,14.3428,4.1278,47.966,17.8405,31.0099
1987-07-02,14.4701,4.1475,48.0191,17.8373,31.0165
1987-07-03,14.4701,4.1475,47.787,17.834,31.0232
1987-07-06,14.4364,4.1179,47.7055,17.8308,31.0298
1987-07-07,14.5538,4.0902,47.8285,17.8276,31.0365
1987-07-08,14.5958,4.0821,48.0323,17.8243,31.0431
1987-07-09,14.5593,4.0949,47.784,17.8211,31.0498
1987-07-10,14.5995,4.1114,47.8533,17.8179,31.0564
1987-07-13,14.5644,4.1481,48.0408,17.8146,31.0631
1987-07-14,14.7088,4.2475,48.0939,17.8114,31.0697
1987-07-15,14.6964,4.245,48.7064,17.8082,31.0764
1987-07-16,14.8043,4.2704,48.8187,17.8049,31.083
1987-07-17,14.8937,4.2666,48.479,17.8017,31.0897
1987-07-20,14.7422,4.2229,48.5105,17.7985,31.0963
1987-07-21,14.6077,4.2083,48.6712,17.7952,31.103
1987-07-22,14.6038,4.2179,48.9394,17.792,31.1097
1987-07-23,14.5725,4.1715,48.8364,17.7888,31.1163
1987-07-24,14.6416,4.2045,48.7658,17.7855,31.123
1987-07-27,14.7069,4.2082,48.7489,17.7823,31.1297
1987-07-28,14.7864,4.2204,49.0709,17.7791,31.1363
1987-07-29,14.9435,4.2415,49.2423,17.7759,31.143
1987-07-30,15.0571,4.2815,49.177,17.7726,31.1497
1987-07-31,15.0859,4.2768,49.7517,17.7694,31.1563
1987-08-03,15.0342,4.2526,50.8536,17.7662,31.163
1987-08-04,14.9707,4.2665,50.9227,17.7583,31.1706
1987-08-05,15.0758,4.318,50.5347,17.7504,31.1781
1987-08-06,15.248,4.3968,50.4156,17.7424,31.1857
1987-08-07,15.2911,4.4374,49.92,17.7345,31.1932
1987-08-10,15.5277,4.4875,49.5966,17.7266,31.2008
1987-08-11,15.78,4.5388,49.6066,17.7187,31.2083
